Tickler,Company,MarketCap_EUR,Price_EUR,Revenue_EUR,ISIN,Official_Xetra_Name,Primary_Market_MIC
PPL,PPL Corporation,23076767419,30.67,8226069400,US69351T1060,"PPL CORP.          DL-,01",XNYS
VRSN,"VeriSign, Inc.",23007934320,254.05,1494924870,US92343E1029,"VERISIGN INC.     DL-,001",XNAS
IAG.L,International Consolidated Airlines Group S.A.,22930295437,5.206,33371000000,ES0177542018,INTERN.CONS.AIRL.GR.,XMAD
PHIA.AS,Koninklijke Philips N.V.,22607897427,23.17,17665000000,NL0000009538,"KONINKL. PHILIPS EO -,20",XAMS
CTSH,Cognizant Technology Solutions Corporation,22470206666,49.39,18943242600,US1924461023,COGNIZANT TECH. SOL.A,XNAS
LH,Labcorp Holdings Inc.,22390254255,274,12558804400,US5049221055,LABCORP HLDGS INC. O.N.,XNYS
CPAY,"Corpay, Inc.",22216065271,340,4394445401,US2199481068,CORPAY INC.,XNYS
SYF,Synchrony Financial,22118823583,67.64,8672472400,US87165B1035,"SYNCHRONY FIN.    DL-,001",XNYS
HLAG.DE,Hapag-Lloyd Aktiengesellschaft,21987612654,125.1,17782100000,DE000HLAG475,HAPAG-LLOYD AG NA O.N.,XHAM
ECHO,EchoStar Corporation,21939204402,77.71,12826580553,US2787681061,"ECHOSTAR CORP. A DL -,001",XNAS
SW,Smurfit Westrock Plc,21875741088,44.2,27419647800,IE00028FXN24,"SMURFIT WESTROCK   DL-,01",XNYS
DLTR,"Dollar Tree, Inc.",21759640337,112.58,16785715000,US2567461080,"DOLLAR TREE INC.   DL-,01",XNAS
EBK.DE,EnBW Energie Baden-Württemberg AG,21735548122,67,37670100000,DE0005220008,ENBW ENERGIE BAD.-WUE. ON,XSTU
VRSK,"Verisk Analytics, Inc.",21596045182,167,2744940800,US92345Y1064,VERISK ANALYTICS DL-001,XNAS
PHM,"PulteGroup, Inc.",21549262820,112.85,14361113623,US7458671010,"PULTE GROUP INC.  DL -,01",XNYS
FCNCA,"First Citizens BancShares, Inc.",21537733140,1930,8168299600,US31946M1036,FIRST CITIZ.BCSHS A   DL1,XNAS
NRG,"NRG Energy, Inc.",21479822169,106,28994312500,US6293775085,"NRG ENERGY INC.    DL-,01",XNYS
FOXA,Fox Corporation,21287589651,52.37,14990387800,US35137L1052,"FOX CORP. A        DL-,01",XNAS
CHD,"Church & Dwight Co., Inc.",21182925626,88.82,5452331230,US1713401024,CHURCH + DWIGHT CO. DL 1,XNYS
INCY,Incyte Corporation,21138212823,100.95,5093834609,US45337C1027,"INCYTE            DL-,001",XNAS
ULTA,"Ulta Beauty, Inc.",21015528882,477.2,10802063500,US90384S3031,"ULTA BEAUTY DL-,01",XNAS
PFG,"Principal Financial Group, Inc.",21001738340,103,13736257960,US74251V1026,"PRINCIPAL FINL GRP DL-,01",XNAS
KEY,KeyCorp,20984387247,19.83,6451836300,US4932671088,KEYCORP              DL 1,XNYS
NN.AS,NN Group N.V.,20964294115,80.82,14031000000,NL0010773842,"NN GROUP NV EO -,12",XAMS
VLTO,Veralto Corporation,20738061393,84.26,4979443200,US92338C1036,VERALTO CORP.,XNYS
BRO,"Brown & Brown, Inc.",20668883090,61.56,5832123900,US1152361010,"BROWN + BROWN      DL-,10",XNYS
TEF.MC,"Telefónica, S.A.",20661321895,3.676,36239000000,ES0178430E18,TELEFONICA INH.      EO 1,XMAD
IOT,Samsara Inc.,20605327751,34.2,1471005750,US79589L1061,"SAMSARA INC. A   DL-,0001",XNYS
RBI.VI,Raiffeisen Bank International AG,20593377668,62.7,8884000000,AT0000606306,RAIFFEISEN BK INTL INH.,WBAH
SOFI,"SoFi Technologies, Inc.",20534289110,15.85,3736164657,US83406F1021,SOFI TECHNOLOGIES,XNAS
0QMI.IL,SGS SA,20533362463,101.8,7806202721,,,
OMV.VI,OMV Aktiengesellschaft,20481879436,63.1,25610000000,AT0000743059,OMV AG,WBAH
MRNA,"Moderna, Inc.",20433711232,49.6,1950168400,US60770K1079,"MODERNA INC.     DL-,0001",XNAS
L,Loews Corporation,20429167336,99.96,16362858200,US5404241086,LOEWS CORP.          DL 1,XNYS
RL,Ralph Lauren Corporation,20385076988,349,7325839360,US7512121010,"RALPH LAUREN A     DL-,01",XNYS
22UA.HM,BioNTech SE,20353720713,80.7,2650000000,US09075V1026,BIONTECH SE SPON. ADRS 1,XNAS
UNI.MI,Unipol Assicurazioni S.p.A.,20274901611,28.45,11512000000,IT0004810054,UNIPOL ASSICURAZIONI NAM.,XMIL
AER,AerCap Holdings N.V.,20267061985,132.55,7844284547,NL0000687663,"AERCAP HOLDINGS   EO -,01",XNYS
PGHN.SW,Partners Group Holding AG,20221206749,780.8,2744086210,CH0024608827,"PARTNERS GR.HLDG  SF -,01",XSWX
IHG.L,InterContinental Hotels Group PLC,20192351928,137.89999,4419471300,GB00BHJYC057,"INTERCONT.H.LS-,208521303",XLON
LGEN.L,Legal & General Group Plc,20157635601,3.704,13732814779,GB0005603997,"LEGAL GENL GRP PLCLS-,025",XLON
ENTG,"Entegris, Inc.",20100717760,126,2916324480,US29362U1043,"ENTEGRIS INC.      DL-,01",XNAS
VER.VI,VERBUND AG,20097997435,57.85,7590365000,AT0000746409,VERBUND AG       INH. A,WBAH
STZ,"Constellation Brands, Inc.",20051877172,116,7754346540,US21036P1084,"CONST.BRANDS A     DL-,01",XNYS
MTX.DE,MTU Aero Engines AG,19975223671,370.8,9232000000,DE000A0D9PT0,MTU AERO ENGINES NA O.N.,XFRA
LUV,Southwest Airlines Co.,19927667118,40.525,26322896900,US8447411088,SOUTHW. AIRL. CO.    DL 1,XNYS
GEBN.SW,Geberit AG,19822730238,601,3413753005,CH0030170408,GEBERIT AG NA DISP. SF-10,XSWX
GPN,Global Payments Inc.,19712429421,75.6,8933964774,US37940X1028,GLOBAL PAYMENTS INC.,XNYS
OMC,Omnicom Group Inc.,19643768763,73.34,19581598890,US6819191064,"OMNICOM GRP INC.   DL-,15",XNYS
PKG,Packaging Corporation of America,19610457605,220.5,8345635380,US6951561090,PACKAGING CORP. OF AMER.,XNYS
ROKU,"Roku, Inc.",19560582537,132,4559533983,US77543R1023,"ROKU INC   CL. A DL-,0001",XNAS
AMUN.PA,Amundi S.A.,19502934757,96.8,7186181000,FR0004125920,"AMUNDI S.A.      EO 2,50",XPAR
DE000TRAT0N7.SG,Traton SE,19400000000,38.8,44142000000,DE000TRAT0N7,TRATON SE   INH O.N.,XFRA
CMS,CMS Energy Corporation,19266477134,60.50535,7714018900,US1258961002,"CMS ENERGY CORP.   DL-,01",XNYS
TW,Tradeweb Markets Inc.,18727150051,89.12,1929543706,US8926721064,"TRADEWEB MARKETS -,00001",XNAS
RS,"Reliance, Inc.",18719469129,364,13834816740,US7595091023,RELIANCE INC.,XNYS
